InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
   15300000      24.869660  2.565421e-06      6572.612975        45.378982      6599.321304        64.481117  0.43  0.22671
   15310000      24.806227  2.526071e-06      6418.464211        84.297033      6492.837062        64.364085  0.44  0.22680
   15320000      24.742921  2.426781e-06      6588.968051       115.415330      6491.761129        64.194390  0.45  0.22664
   15330000      24.680016  2.580790e-06      6541.568558        67.162408      6495.196494        64.054220  0.48  0.22471
   15340000      24.617289  2.595112e-06      6429.178789        94.376196      6445.851885        63.849155  0.51  0.22062
   15350000      24.554352  2.592833e-06      6368.679797        58.963647      6405.745965        63.628879  0.37  0.22109
   15360000      24.491442  2.607223e-06      6409.628190        84.716239      6461.707375        63.454587  0.47  0.22559
   15370000      24.428584  2.606067e-06      6604.937765       108.759419      6567.136658        63.301587  0.41  0.22582
   15380000      24.366137  2.544976e-06      6566.978177        47.445548      6559.509573        63.254921  0.45  0.22664
   15390000      24.304013  2.583743e-06      6474.077228        33.218516      6498.750859        63.163515  0.43  0.22671
   15400000      24.242116  2.501883e-06      6428.817146        45.340854      6460.367829        62.925168  0.51  0.22062
   15410000      24.180060  2.430069e-06      6484.892190        66.449529      6459.114901        62.704624  0.45  0.22664
   15420000      24.118292  2.546035e-06      6621.811065       103.070910      6546.658695        62.566079  0.55  0.21189
   15430000      24.056848  2.557925e-06      6473.033191        83.440692      6544.123796        62.436531  0.44  0.22680
   15440000      23.995383  2.592541e-06      6445.303170        82.199998      6516.087416        62.294147  0.41  0.22582
   15450000      23.934455  2.570036e-06      6545.815443       112.112959      6455.692258        62.125487  0.52  0.21879
   15460000      23.873113  2.592868e-06      6586.733723        77.945643      6547.992103        61.959508  0.45  0.22664
   15470000      23.812176  2.568053e-06      6503.353123       134.089475      6524.837049        61.850932  0.48  0.22471
   15480000      23.751456  2.561363e-06      6422.072263        68.267811      6477.144395        61.745595  0.47  0.22559
   15490000      23.691198  2.576722e-06      6535.116790        96.360736      6453.912424        61.630403  0.51  0.22062
   15500000      23.631065  2.562696e-06      6593.591240        79.498083      6521.428843        61.476309  0.44  0.22680
   15510000      23.571119  2.565582e-06      6543.446363        91.821509      6488.859336        61.297663  0.50  0.22222
   15520000      23.511105  2.540198e-06      6486.102813        93.186844      6505.284376        61.037496  0.44  0.22680
   15530000      23.450996  2.598318e-06      6479.111702        41.689833      6493.839171        60.783517  0.45  0.22664
   15540000      23.390817  2.588112e-06      6580.189361        53.112301      6618.481809        60.650405  0.50  0.22222
   15550000      23.330899  2.586101e-06      6566.729997        47.041419      6598.808959        60.567795  0.47  0.22559
   15560000      23.271522  2.533847e-06      6438.092135        93.957125      6505.104035        60.465979  0.35  0.21726
   15570000      23.212088  2.595918e-06      6610.705619        96.878278      6528.455425        60.220789  0.44  0.22680
   15580000      23.152844  2.429367e-06      6537.887324        52.855445      6584.826220        60.100400  0.39  0.22394
   15590000      23.093832  2.502852e-06      6426.248157        87.975402      6504.623337        59.985418  0.39  0.22394
   15600000      23.035136  2.532305e-06      6492.922228        64.121219      6441.714601        59.863117  0.51  0.22062
   15610000      22.976653  2.586687e-06      6456.491985        47.047888      6494.920748        59.685609  0.40  0.22500
   15620000      22.917945  2.581699e-06      6456.410609        98.647395      6547.373608        59.494448  0.38  0.22264
   15630000      22.859571  2.586501e-06      6433.500289        48.791888      6474.674325        59.383035  0.44  0.22680
   15640000      22.801330  2.538212e-06      6347.154420        68.660349      6411.162798        59.209700  0.40  0.22500
   15650000      22.743213  2.586628e-06      6404.264495        32.204211      6433.370057        59.085375  0.44  0.22680
   15660000      22.685258  2.531090e-06      6609.466234       102.345889      6517.554334        58.964281  0.45  0.22664
   15670000      22.627536  2.589454e-06      6485.406261        47.871656      6514.011274        58.765136  0.39  0.22394
   15680000      22.570047  2.580960e-06      6471.432020        65.400072      6484.948385        58.680974  0.44  0.22680
